flightNumber,from,to,arrival,departure,status
3477,Thiruvananthapuram,Calicut,6/16/2021,1/28/2022,Departed
2383,Bangalore,Agartala,11/15/2021,12/15/2021,Arriving Late By 30mins
1433,Srinagar,Indore,10/19/2021,4/15/2021,Departed
3582,Pune,Bangalore,10/7/2021,7/6/2021,Departing Early By 30mins
2779,Indore,Mumbai,6/28/2021,3/11/2021,On Time
3864,Mangalore,Naqpur,8/17/2021,1/12/2022,Departed
1529,Hyderabad City,Amritsar,11/6/2021,1/18/2022,On Time
4637,Vasco da Gama,Madurai,10/24/2021,1/27/2022,Departing Early By 30mins
3836,Patna,Visakhapatnam,9/23/2021,7/1/2021,Departing Late By 30mins
4731,Srinagar,Ahmedabad,3/27/2021,6/6/2021,On Time
2110,Agartala,Mangalore,5/22/2021,2/25/2021,Departing Early By 30mins
1840,Mangalore,New Delhi,9/6/2021,3/31/2021,Departing Early By 30mins
2147,Naqpur,Kochi,11/28/2021,10/13/2021,Departing Late By 30mins
3698,Bangalore,Naqpur,4/17/2021,11/11/2021,Arriving Late By 30mins
1347,Thiruvananthapuram,Amritsar,1/17/2022,3/24/2021,Departing Late By 30mins
1435,Mumbai,Jammu,8/18/2021,8/2/2021,Departing Late By 30mins
4472,Hyderabad City,Agartala,5/25/2021,4/22/2021,Departing Early By 30mins
3317,Srinagar,Visakhapatnam,6/18/2021,6/3/2021,Departed
1676,Jaipur,Patna,10/29/2021,11/23/2021,Departed
1425,Chandigarh,Naqpur,9/6/2021,9/14/2021,On Time
3333,Calicut,Agartala,3/6/2021,7/24/2021,Departing Early By 30mins
2238,Jammu,Jaipur,2/5/2022,11/11/2021,Departing Late By 30mins
4057,Kolkata,Calicut,4/17/2021,8/31/2021,Departed
1399,Visakhapatnam,Kochi,10/6/2021,4/1/2021,Departing Late By 30mins
1452,Madurai,Agartala,8/12/2021,3/2/2021,Departing Late By 30mins
4538,Kolkata,Jammu,10/24/2021,11/17/2021,Arriving Late By 30mins
2528,Kochi,Visakhapatnam,1/19/2022,7/15/2021,Arriving Early By 30mins
3219,Madurai,Agartala,10/7/2021,5/26/2021,Arriving Early By 30mins
3590,Calicut,Jaipur,6/8/2021,4/1/2021,Arriving Late By 30mins
1395,Chennai,Srinagar,6/8/2021,11/29/2021,Departing Late By 30mins
4038,Port Blair,Jaipur,2/22/2021,4/12/2021,Arriving Late By 30mins
1263,Tiruchirappally,Ahmedabad,7/3/2021,10/19/2021,On Time
4021,Mumbai,Guwahati,5/16/2021,9/11/2021,On Time
2073,Tiruchirappally,Mumbai,12/28/2021,10/3/2021,Arriving Early By 30mins
2694,Kochi,Coimbatore,2/9/2022,8/16/2021,Departing Late By 30mins
2012,New Delhi,Kolkata,9/8/2021,4/22/2021,Departing Late By 30mins
